Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Asia,Sri Lanka,7.873054,80.771797,1,1,1,1,1,1,1,28,97,122,178,217,304,588,751,869,992,1182,1643,1857,1905,1951,2039,2077,2646,2730,2805,2828,2871,2900,2959,3049,3123,3262
Asia,Syria,34.802075,38.996815,0,0,0,0,0,0,0,0,1,10,19,25,39,43,44,47,58,106,123,144,177,219,269,372,417,522,674,847,1255,1764,2293,2765,3229,3576
Asia,Taiwan,23.7,121,5,10,18,22,30,41,45,67,195,306,373,393,422,429,438,440,440,441,443,443,445,446,447,449,451,451,462,474,477,485,487,488,494,499
Asia,Tajikistan,38.861,71.2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,661,1729,3100,4013,4609,5097,5513,5900,6262,6596,6921,7235,7538,7827,8099,8346,8583,8824,9088
Asia,Thailand,15.870032,100.992541,8,19,32,35,35,43,50,147,721,1524,2220,2579,2792,2931,2987,3015,3031,3042,3082,3119,3135,3151,3169,3195,3220,3250,3297,3320,3351,3378,3402,3417,3446,3475
Asia,Timor-Leste,-8.874217,125.727539,0,0,0,0,0,0,0,0,1,1,1,4,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,27,27,27
Asia,Turkey,38.9637,35.2433,0,0,0,0,0,0,0,18,1529,10827,30217,61049,90980,112261,127659,139771,150593,157814,164769,171121,179831,188897,198613,206844,214001,220572,227019,233851,241997,250542,259692,270133,281509,292878
Asia,United Arab Emirates,23.424076,53.847818,0,5,8,9,13,21,45,98,198,611,2076,4521,7265,10839,14730,18878,24190,30307,35192,39376,42636,45303,48246,52068,55198,57193,59177,61163,62704,64541,67282,70231,74454,80266
Asia,Uzbekistan,41.377491,64.585262,0,0,0,0,0,0,0,6,46,149,457,998,1627,1904,2189,2486,2791,3189,3702,4440,5263,6461,8222,10362,13591,17149,21209,26066,31304,35702,39348,41893,43893,47836
Asia,Vietnam,14.058324,108.277199,2,8,14,16,16,16,30,61,123,203,245,265,268,270,271,288,324,326,328,332,334,349,355,369,373,384,431,652,847,983,1022,1044,1049,1063
Asia,Yemen,15.552727,48.516388,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,56,130,233,354,496,844,967,1128,1284,1498,1619,1691,1734,1832,1882,1916,1958,1989,2013
Europe,Albania,41.1533,20.1683,0,0,0,0,0,0,2,51,104,223,377,467,584,736,803,872,948,1004,1143,1263,1590,1995,2466,2964,3571,4171,4880,5620,6536,7499,8605,9513,10406,11520
Europe,Andorra,42.5063,1.5218,0,0,0,0,0,1,1,2,133,370,525,646,717,743,750,755,761,763,765,852,853,855,855,855,858,884,907,937,963,1005,1060,1176,1261,1438
Europe,Armenia,40.0691,45.0382,0,0,0,0,0,1,1,52,235,482,833,1039,1339,1808,2507,3392,4823,7113,9492,13325,17064,20588,25127,28936,32151,34981,37390,39102,40433,41701,42825,43781,44845,45969
Europe,Austria,47.5162,14.5501,0,0,0,0,0,18,131,1018,4474,9618,12297,14041,14795,15274,15621,15882,16269,16539,16733,16968,17135,17380,17723,18365,18948,19743,20558,21385,22106,23534,25495,27438,29561,33541
Europe,Azerbaijan,40.1431,47.5769,0,0,0,0,0,3,9,28,72,273,641,1148,1436,1678,1984,2589,3387,4271,5662,7876,10324,13207,16968,20837,24570,27890,30446,32684,33647,34343,35426,36435,37418,38403
Europe,Belarus,53.7098,27.9534,0,0,0,0,0,1,6,36,81,152,700,2919,6264,11289,17489,23906,30572,37144,43403,49453,54680,59023,61790,63804,65114,66213,67251,68166,68947,69589,70645,71843,73031,74360
Europe,Belgium,50.8333,4.469936,0,0,1,1,1,8,239,1058,3743,11899,20814,30589,39983,46687,50267,53449,55559,57342,58517,59348,60100,60550,61361,62058,62707,64094,66428,70314,74620,78534,82092,85236,88769,94306
Europe,Bosnia and Herzegovina,43.9159,17.6791,0,0,0,0,0,0,3,25,136,368,674,1037,1309,1565,1926,2141,2304,2406,2524,2704,3040,3525,4325,5458,6981,8479,10498,12462,14498,16111,18029,19964,21660,23635
Europe,Bulgaria,42.7339,25.4858,0,0,0,0,0,0,4,52,201,359,549,685,929,1363,1652,1990,2235,2433,2519,2810,3341,3984,4831,5914,7411,8929,10621,12159,13512,14500,15386,16266,17146,18061
Europe,Croatia,45.1,15.2,0,0,0,0,0,7,12,57,315,790,1222,1650,1881,2039,2101,2196,2228,2244,2246,2247,2254,2336,2725,3220,3775,4370,4881,5294,5649,6656,8311,10269,12081,13598
Europe,Cyprus,35.1264,33.4299,0,0,0,0,0,0,2,33,116,230,465,662,772,822,874,901,917,937,949,970,985,988,996,1004,1022,1038,1060,1155,1252,1351,1451,1488,1510,1534
Europe,Czechia,49.8175,15.473,0,0,0,0,0,3,31,298,1236,3001,4822,6059,6900,7445,7819,8176,8586,9002,9302,9697,10064,10523,11805,12566,13238,14098,15516,17008,18494,20202,22181,24618,28716,37222
Europe,Denmark,63.2878,-13.3381,0,0,0,0,0,4,92,933,1572,2755,4875,6513,7711,8896,9868,10711,11166,11586,11899,12162,12417,12727,12951,13079,13238,13466,13775,14235,15135,16127,16821,17410,18540,20674
